label	freq
num	485277
mas	72170
si	37407
partido	36762
revolucion	29580
solo	26496
lucha	22797
politica	22664
puede	20829
clase	20458
ser	20214
sino	19722
gobierno	18945
guerra	18825
tambien	18806
trabajo	18272
poder	17657
obreros	17402
mismo	17222
habia	16952
masas	16714
proletariado	16027
parte	15397
gran	14852
vez	14667
pueblo	14344
todas	14228
toda	14075
internacional	13974
movimiento	13974
asi	13832
dos	13830
burguesia	13369
pais	13293
decir	13183
despues	12882
cada	12851
tiempo	12670
hecho	12084
general	12020
lenin	11977
trabajadores	11696
anos	11551
ahora	11145
frente	11029
hacia	11014
sido	10956
debe	10945
social	10893
desarrollo	10720
forma	10382
hacer	10317
mundo	10309
comunista	10288
sociedad	10236
obrera	10143
trotsky	10139
produccion	10110
paises	10104
vida	10062
revolucionario	10038
fuerzas	10029
tan	9961
obrero	9943
nacional	9937
bajo	9713
organizacion	9695
socialista	9613
ejercito	9552
situacion	9540
hace	9412
menos	9351
campesinos	9287
aun	9162
aqui	9138
bien	9131
revolucionaria	8984
momento	8901
estan	8626
condiciones	8518
clases	8496
historia	8231
entonces	8217
rusia	8214
siempre	8086
misma	8053
modo	8032
tal	7975
oposicion	7965
stalin	7932
primera	7835
hombre	7822
nueva	7813
mayor	7682
direccion	7639
punto	7628
dia	7620
fuerza	7595
normal	7587
socialismo	7584
comite	7515
lugar	7501
capitalismo	7496
manera	7466
grandes	7410
embargo	7329
mode	7298
grid	7298
hoy	7297
nuevo	7206
pues	7126
regimen	7067
partidos	7058
capitalista	7055
problema	7049
congreso	7016
escritos	7007
politico	6965
cuestion	6930
izquierda	6809
mundial	6695
posible	6666
pueden	6646
economia	6627
capital	6614
ello	6562
hombres	6562
caso	6513
proceso	6449
medio	6430
base	6414
primer	6385
alemania	6368
popular	6330
derecho	6304
fin	6286
sovietica	6265
caracter	6240
realidad	6233
democracia	6149
todavia	6096
aunque	6069
incluso	6064
marx	6061
mientras	6039
ejemplo	6002
programa	5895
sistema	5859
habian	5850
relaciones	5763
mayoria	5749
necesario	5696
burguesa	5694
accion	5593
segun	5572
haber	5554
propiedad	5551
ano	5489
necesidad	5456
seria	5455
camino	5451
dentro	5443
central	5442
comunistas	5383
revolucionarios	5354
vista	5333
economica	5329
tres	5317
crisis	5309
militar	5290
cuanto	5281
intereses	5235
organizaciones	5224
octubre	5210
etc	5182
imperialismo	5167
periodo	5125
sera	5124
conciencia	5117
unidad	5107
ademas	5087
dictadura	5071
libertad	5056
industria	5022
tierra	5019
teoria	4971
union	4959
propia	4951
bolcheviques	4931
acuerdo	4926
medios	4889
unico	4869
ninguna	4868
camaradas	4866
orden	4864
chile	4850
deben	4845
mejor	4845
francia	4836
moscu	4831
epoca	4820
socialistas	4810
cosas	4788
republica	4762
dice	4749
millones	4735
tenia	4727
titulo	4714
carta	4679
grupo	4657
tener	4655
razon	4595
manos	4577
luego	4574
precisamente	4574
dirigentes	4570
europa	4569
senor	4569
problemas	4558
cualquier	4553
veces	4504
paso	4499
cierto	4490
importante	4488
ley	4486
propio	4484
cuenta	4479
cambio	4472
tarea	4471
dias	4456
respecto	4430
elementos	4421
ideas	4398
lado	4396
burocracia	4360
relacion	4352
actual	4348
papel	4337
critica	4321
pag	4318
casi	4281
burgues	4270
capitalistas	4269
ningun	4245
victoria	4243
nunca	4242
campo	4232
posicion	4225
china	4203
traves	4190
pueblos	4174
experiencia	4171
presidente	4169
nombre	4165
ver	4144
principio	4138
importancia	4096
medida	4084
economico	4063
sociales	4032
camarada	4025
alli	4024
pasado	4010
idea	3963
contrario	3963
rusa	3951
podia	3945
numero	3943
dicho	3922
miembros	3915
trata	3908
dar	3907
soldados	3899
solamente	3885
cuales	3885
pesar	3879
soviets	3862
sovietico	3817
demas	3797
paz	3796
level	3795
cosa	3792
naturaleza	3789
proletaria	3777
valor	3750
debemos	3750
fascismo	3748
mismos	3741
espiritu	3726
usted	3710
aleman	3704
marxismo	3686
verdad	3676
ultimo	3656
aquellos	3649
principios	3648
defensa	3642
podemos	3640
unidos	3632
escrito	3579
palabras	3567
sindicatos	3556
significa	3552
gente	3533
huelga	3531
practica	3530
outline	3529
espana	3525
pequena	3519
edicion	3517
grupos	3490
siguiente	3476
ustedes	3463
tipo	3461
actividad	3421
falta	3409
ruso	3379
apoyo	3377
hizo	3372
podria	3372
formas	3355
msonormal	3354
subtituloescritos	3354
firmaescrito	3354
actitud	3342
puesto	3340
politicos	3331
politicas	3296
personas	3295
prensa	3294
febrero	3293
segunda	3287
enemigo	3269
causa	3262
existencia	3259
nivel	3256
linea	3254
articulo	3235
nadie	3234
va	3231
comun	3203
marxista	3186
contentsfile	3177
urss	3163
militares	3156
posibilidad	3142
engels	3140
hechos	3136
burgueses	3124
campesino	3117
dado	3110
influencia	3106
libro	3102
palabra	3101
pensamiento	3095
plan	3087
objetivo	3080
poblacion	3079
siendo	3078
tomar	3075
existe	3069
aparato	3062
primero	3058
mujeres	3051
consejo	3050
voluntad	3043
obra	3039
democratica	3037
socialdemocracia	3034
mediante	3024
mujer	3022
tarde	3004
principal	3001
llegar	2992
civil	2971
companeros	2959
real	2958
marzo	2947
consecuencia	2941
da	2929
paris	2919
moral	2915
acerca	2915
pequeno	2912
completamente	2900
peligro	2899
nuevas	2897
igual	2893
segundo	2893
resultado	2890
fundamental	2885
quiere	2881
leyes	2878
parece	2870
meses	2869
siglo	2856
ciudad	2851
acontecimientos	2847
conferencia	2835
masa	2834
total	2833
julio	2816
tareas	2797
inglaterra	2792
insurreccion	2775
mayo	2771
sectores	2767
futuro	2765
partes	2762
historico	2760
mil	2746
junto	2744
ayuda	2743
empresas	2742
volver	2740
alguna	2739
claro	2721
metodos	2715
unica	2707
interes	2700
armas	2695
tales	2695
cabo	2687
casa	2685
tras	2672
etapa	2669
alemana	2667
bolchevique	2666
control	2663
diferentes	2655
aquel	2643
muchas	2618
derechos	2615
nuevos	2613
opinion	2604
comunismo	2591
ultimos	2590
conjunto	2588
presente	2571
muerte	2565
dijo	2557
revolucionarias	2546
derecha	2535
medidas	2526
libre	2523
historica	2516
definitions	2504
dificil	2498
imperialista	2498
industrial	2496
primeros	2491
leon	2489
imposible	2488
ultima	2478
vanguardia	2474
frances	2474
totalmente	2469
inmediatamente	2464
obreras	2460
partir	2457
habria	2455
golpe	2451
expresion	2439
creo	2438
asamblea	2430
crear	2428
menor	2423
alemanes	2413
fabricas	2407
abril	2404
importantes	2403
agosto	2391
tesis	2391
largo	2389
independencia	2388
saber	2387
policia	2386
pronto	2382
adelante	2379
favor	2373
hacen	2368
cuatro	2363
petrogrado	2361
consigna	2359
horas	2351
america	2350
mercado	2342
circunstancias	2342
diferencia	2334
